track_uri,artist_uri,dan,ene,aco,val,artist_genres
spotify:track:5YZXVNIzaJquPCaSCePq98,spotify:artist:3aQeKQSyrW4qWr35idm0cy,0.275,0.888,0.0000944,0.239,"dance pop,gangster rap,hip hop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary"
spotify:track:0xbReDSQvm20f1PKsos4bh,spotify:artist:357dDcxIE2hkKGn03PClIF,0.853,0.897,0.0763,0.706,meme rap
spotify:track:1a73gcEg6h6Re6hHXoVltJ,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,0.93,0.435,0.0173,0.227,"hip pop,pop,queens hip hop,rap"
spotify:track:1UegvfqeikDPozAcaIWIuI,spotify:artist:06W84OT2eFUNVwG85UsxJw,0.313,0.494,0.0186,0.341,"indie pop,indie surf,vermont indie"
spotify:track:6aEYuFYl4V3eyA10J0RKOH,spotify:artist:7oG49IUY8ulam2msuMN8v0,0.379,0.802,0.00225,0.126,american shoegaze
spotify:track:7fE9r2qOJmjgruk3TdW4MD,spotify:artist:18lpwfiys4GtdHWNUu9qQr,0.549,0.594,0.0524,0.365,"australian reggae fusion,australian surf rock"
spotify:track:4Nwrh5BlZ8I31znYQULS7G,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,0.252,0.451,0.557,0.104,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock"
spotify:track:7j28vzFDGWSCuKQKMxULfW,spotify:artist:5APEQlUaQ5K70LgPqAdTuU,0.591,0.7,0.471,0.54,"chill dream pop,modern dream pop"
spotify:track:3SeDS5sSoWnwAZvVgkdKzf,"spotify:artist:5Bw9kFNhy019e4IBCJZlzw, spotify:artist:0Y6dVaC9DZtPNH4591M42W",0.678,0.64,0.283,0.701,"modern indie pop,pov: indie"
spotify:track:3qiX7QXv6w6y4wsr5KP6U1,spotify:artist:2jbd7OqeJJd1hz81vOXwwW,0.817,0.577,0.117,0.928,modern indie pop
spotify:track:7to68V64Cu6zk0UDo5tyw3,spotify:artist:18lpwfiys4GtdHWNUu9qQr,0.59,0.562,0.0637,0.561,"australian reggae fusion,australian surf rock"
spotify:track:7F80jeq0Nn8QeyNufWeV3D,"spotify:artist:2KD9QZ3u2oLgdRKsKVSW4I, spotify:artist:5TSx7SKUufxZFqkM0doMCG",0.453,0.426,0.248,0.196,
spotify:track:6sPpUfwcYBgW3kTXStNsVM,spotify:artist:6AyATGg7mDgBlZ4N5uNog0,0.341,0.37,0.918,0.0417,modern indie pop
spotify:track:60IUQOG6vDsbPBs6F9hm38,spotify:artist:6ehbjKYJwaDdHpiw52vdGr,0.409,0.529,0.342,0.365,
spotify:track:73SpzrcaHk0RQPFP73vqVR,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,0.344,0.22,0.917,0.0522,"art pop,pop"
spotify:track:0IMJjZtStHUsUz26Ymlcj2,spotify:artist:44TGR1CzjKBxSHsSEy7bi9,0.253,0.298,0.29,0.103,chamber pop
spotify:track:7hRLd8al1yptBLnvDpL2VC,"spotify:artist:6EB8VE9f7Ut6NOgviN6gDW, spotify:artist:27VhXJzIph9c75cBh1e8XM",0.384,0.358,0.338,0.129,"polish pop,talent show,video game music"
spotify:track:64wrjkTKhWWrB3bQ50q8Gp,spotify:artist:7e8rT9wPUmfu9ZPC8Mym17,0.379,0.489,0.0225,0.162,"ambient post-rock,drone,warm drone"
spotify:track:4pjrxxYGo2Qk5uCembNU4Q,spotify:artist:08uFeaJXuBJKkPXuWleYY5,0.854,0.535,0.649,0.713,
spotify:track:0k6uhJ9XEn1c1qqU2WxL59,spotify:artist:651bTRrM7AWeYldvSxdHco,0.34,0.212,0.785,0.152,"corecore,future bass"
spotify:track:43QRiAIOV5NZtRyZhh3WLA,spotify:artist:7m0ceX2PgDpdhcr0m9qpQX,0.297,0.674,0.0996,0.17,"emo punk,long island punk,midwest emo,skramz"
spotify:track:3Xf57XdHyrG4vny1CinLlI,spotify:artist:23prE3lyFVVNVGMV5jADsp,0.18,0.532,0.205,0.0854,"lo-fi emo,midwest emo,new england emo"
spotify:track:6Jub05dvpbF4Im83NqMCUg,spotify:artist:4NlzjQkGReI7SiSeMNHbWP,0.452,0.817,0.00383,0.867,novelty
spotify:track:2WNjQidYVQO0oFFlTuF8fo,spotify:artist:4OfU76YhPU04wlmbVFFgTJ,0.634,0.984,0.236,0.187,j-pop girl group
spotify:track:0Fbmu6lw7dJboUPNz0NEJo,spotify:artist:3P4jnIuA9z5WsvkbsoqkTu,0.592,0.596,0.0264,0.0395,nyc indie rock
spotify:track:60DPrTJRHzpGPSJXLiSdDX,"spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9, spotify:artist:4obzFoKoKRHIphyHzJ35G3",0.821,0.791,0.147,0.434,"k-pop,korean r&b,latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino"
spotify:track:4CqiGEzCteguUcpIR1J4Vq,spotify:artist:2oKcZslW7y9ILALBZJhoha,0.61,0.46,0.895,0.566,
spotify:track:0jff40Qe1NyOy7ZF800jea,spotify:artist:7K3zpFXBvPcvzhj7zlGJdO,0.749,0.59,0.014,0.671,"alternative dance,bitpop,digital hardcore,indietronica,neo-synthpop,new rave,nintendocore"
spotify:track:7fezQws2k5Fy98X4UScIbH,spotify:artist:1IHjrY7ygKbmLVoUV1VcXc,0.443,0.87,0.0000503,0.312,"dreamo,post-grunge,spacegrunge,zoomergaze"
spotify:track:54HKcVf6xi53qtYjCgPuqQ,spotify:artist:09XnRUMmZEc56NuCF343gn,0.559,0.616,0.00104,0.55,
spotify:track:4xOz2VrD7Xho0MmkT4xY22,spotify:artist:7CddNoU6nKEW7UpcIlJF9n,0.469,0.539,0.206,0.227,"countrygaze,diy emo,dreamo,grungegaze"
spotify:track:7nPnjPDxao5TKMjsw44rai,spotify:artist:2fBURuq7FrlH6z5F92mpOl,0.529,0.853,0.00695,0.14,"alternative dance,dance-punk,electronica,indietronica,neo-synthpop,new rave"
spotify:track:6sgnvABaQ82zq4Pm6abqb1,spotify:artist:5r5uCVk3IIzm2jdfGDpl8C,0.506,0.926,0.153,0.93,"cascadia shoegaze,chill dream pop,dreamo"
spotify:track:3G6DRSR6QfcQZIxjNH6Dmp,spotify:artist:2PRMYqCCiAGsJmTMIrNnxo,0.232,0.452,0.00778,0.123,zoomergaze
spotify:track:19p4hyb5gm7kRHq8hnZGAc,spotify:artist:0I4FeppDW8iaU3QeORHbfC,0.368,0.723,0.141,0.236,zoomergaze
spotify:track:6uiLtOpnfoF1ebsBblw7Dw,spotify:artist:2G07yQcp05Y5nyqzNCVTjw,0.441,0.851,0.0000898,0.421,
spotify:track:753pG7rn5FcFcjcn3pot4Z,spotify:artist:3SMY2MGuaUOhuPpgRn6clw,0.58,0.316,0.825,0.559,baroque pop
spotify:track:6X1e8vitsmstMQIC2wrETx,spotify:artist:6mskRz8EwbqCXm39vtGStC,0.602,0.314,0.691,0.155,
spotify:track:518SyWWJhPl7HHUSPfyRjL,spotify:artist:6v6OE9MQreCmwuAqF0NfzQ,0.559,0.622,0.0986,0.0653,
spotify:track:7LIkI3vSp3EMYWm35hva7c,spotify:artist:0lwQIZf6i33MfwXgymtF3n,0.322,0.418,0.598,0.418,
spotify:track:62dIc92wJsmNNEiMYTmDjG,spotify:artist:2B2EixNjepQtd6N3mDcNnh,0.614,0.378,0.363,0.39,
spotify:track:589sQoCwq84cQKiY4AYs3y,spotify:artist:4fFR4MFp1iaTkBhRe27u3Z,0.52,0.931,0.00879,0.648,
spotify:track:1BPsI3xxkYJT4svIBpQnoI,spotify:artist:67WE1WzWpx7KZQ6klpWvKV,0.515,0.401,0.298,0.0984,
spotify:track:6FikQbe0BzWe835FbfI0RC,spotify:artist:2ope7q1Dbtm3stcbMgDi3F,0.561,0.178,0.931,0.039,sadcore
spotify:track:6NzkliYpE6IAb300cZhnb2,"spotify:artist:1WtnKgt4QpM8eNxWN4H7cY, spotify:artist:0zilOJ2Ze0FLrQ76cZQaoc",0.378,0.362,0.0112,0.0553,"russian witch house,dreampunk"
spotify:track:5wut5SJdoNOaeTVNXCZzPE,spotify:artist:151Si9irFNyY0kzsGNFuRc,0.498,0.794,0.0614,0.548,
spotify:track:3ERCJ0CCHOtr6V0RmpnmLc,spotify:artist:5zI4LODdVYwnKZHv4mDHRv,0.448,0.944,0.22,0.549,"dream plugg,pluggnb,zoomergaze"
spotify:track:5F6gNlsFin0M0E28VkEfRW,spotify:artist:5Q7eu267FYEzWB5LIetXoF,0.395,0.94,0.00132,0.62,
spotify:track:15sMBXkb4XHIKPxFLHvDAn,spotify:artist:2GUw9Wzha61PkZoRVv1PDD,0.734,0.606,0.00784,0.434,"glitchcore,hyperpop"
spotify:track:6RKeESxpM58GCfR5eRdfzY,spotify:artist:7rxyD0KDWwZ86aQNWfkJhz,0.372,0.865,0.000163,0.576,bedroom r&b
spotify:track:0uU8PXex8NTO40lijONs02,spotify:artist:4Px3YntOJS8Ba8uxa0ppIj,0.662,0.32,0.905,0.453,
spotify:track:2uTvkHhMvrwZZmEDWfxCmn,spotify:artist:7AIly84PlfudU4QitTn8y4,0.514,0.992,0.947,0.401,
spotify:track:4c2ZCkr6k0xsfHp7VfWzhg,spotify:artist:5jX7X3kRkfJTRqAdT7RcHk,0.451,0.321,0.708,0.324,
spotify:track:7iwDR2NBmjqbUGWnFNVEYp,spotify:artist:1Ry6DudE0QFcXoUdXsCQfV,0.44,0.883,0.00461,0.477,zoomergaze
spotify:track:7HWFxohE9GZyAnWg10SPoE,spotify:artist:3m6alJyeKYSCZ8078ttfaH,0.498,0.754,0.254,0.334,"epicore,nordic soundtrack,orchestral soundtrack,video game music"
spotify:track:3nbFVNHVYCMCdD9vBo3udv,spotify:artist:4nlqDmbzFzbNITaqjJv7D7,0.563,0.45,0.528,0.663,"dream pop,lilith"
spotify:track:1gaJMN7d2pSBnhx9oEQZbi,spotify:artist:52PdgUJOjvS6Mpmjy1SAlx,0.69,0.772,0.0132,0.868,modern indie pop
spotify:track:0J02kAxMlMZs2WzByBezWz,spotify:artist:5ZLHPaKGhoW4klxfNmrIKf,0.498,0.679,0.753,0.259,"bedroom skramz,zoomergaze"
